epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.0004,0.77372,3.80841,1.25652,0.00337,1,0.36687,0.30921,0.4245,2.99656,1.21101,0.00021435,0.00021435,0.00021435
2,26.5473,0.31911,2.63103,0.98329,0.00335,1,0.46788,0.41719,0.37145,2.86728,1.08231,0.000434219,0.000434219,0.000434219
3,38.0262,0.36467,2.2829,1.00896,0.77706,0.3475,0.63433,0.55083,0.50058,2.55216,1.17767,0.000645033,0.000645033,0.000645033
4,48.9661,0.37153,2.01682,1.00755,0.55079,0.66101,0.65409,0.57463,0.47547,2.22724,1.19821,0.000846794,0.000846794,0.000846794
5,59.7538,0.37262,1.85896,0.9845,0.52769,0.63437,0.63622,0.53814,0.53386,1.99752,1.20569,0.0010395,0.0010395,0.0010395
6,70.5975,0.36437,1.62387,0.9622,0.55623,0.69107,0.64145,0.53929,0.58338,3.62398,1.19789,0.00122315,0.00122315,0.00122315
7,81.4029,0.39997,1.58115,0.98125,0.71285,0.6612,0.71974,0.57561,0.66568,1.94027,1.28008,0.00125923,0.00125923,0.00125923
8,92.1949,0.35814,1.45829,0.97745,0.7481,0.56523,0.63439,0.50775,0.7394,2.78442,1.49653,0.00123094,0.00123094,0.00123094
9,103.184,0.37256,1.46613,0.97749,0.85497,0.89912,0.91524,0.82471,0.41198,1.62612,1.08306,0.00120265,0.00120265,0.00120265
10,114.023,0.35638,1.45005,0.9715,0.81247,0.69202,0.77918,0.66527,0.50971,1.73919,1.23129,0.00117435,0.00117435,0.00117435
11,124.767,0.32925,1.20708,0.93848,0.86324,0.65651,0.8204,0.73257,0.48464,2.21646,1.10229,0.00114606,0.00114606,0.00114606
12,135.521,0.36121,1.20952,0.96125,0.76963,0.7444,0.86411,0.80257,0.42906,1.59282,1.04635,0.00111776,0.00111776,0.00111776
13,146.352,0.35639,1.19561,0.95317,0.84958,0.68218,0.79234,0.74005,0.44461,1.68207,1.09306,0.00108947,0.00108947,0.00108947
14,157.138,0.34563,1.18709,0.96297,0.94466,0.74743,0.9117,0.84737,0.36758,1.15729,1.00417,0.00106118,0.00106118,0.00106118
15,168.045,0.32304,1.08344,0.93333,0.92176,0.92622,0.97494,0.94562,0.29794,0.87639,0.98246,0.00103288,0.00103288,0.00103288
16,178.953,0.31626,1.05734,0.96607,0.93456,0.88937,0.97727,0.93468,0.33614,0.91537,1.01713,0.00100459,0.00100459,0.00100459
17,189.734,0.30612,1.06512,0.91897,0.76445,0.62517,0.90685,0.85589,0.35311,1.41104,0.99894,0.000976293,0.000976293,0.000976293
18,200.62,0.2823,0.99037,0.91501,0.94503,0.92608,0.95465,0.90877,0.38884,0.75391,1.05846,0.000947999,0.000947999,0.000947999
19,211.441,0.27732,0.9178,0.92561,0.92596,0.93092,0.95922,0.92238,0.28444,0.75865,0.95988,0.000919704,0.000919704,0.000919704
20,222.173,0.26731,0.87365,0.91965,0.94009,0.96103,0.9757,0.94992,0.29462,0.6558,0.96655,0.00089141,0.00089141,0.00089141
21,233.07,0.25233,0.79786,0.90982,0.94061,0.94743,0.98293,0.96082,0.27164,0.59863,0.91078,0.000863116,0.000863116,0.000863116
22,243.95,0.25494,0.79035,0.89343,0.95012,0.97513,0.99433,0.97854,0.22517,0.50509,0.8885,0.000834822,0.000834822,0.000834822
23,254.834,0.25733,0.75258,0.90265,0.97777,0.95894,0.99197,0.9853,0.18846,0.59784,0.87855,0.000806528,0.000806528,0.000806528
